left,right,distance,size
5.000000000000000000e+00,2.810000000000000000e+02,1.296933352499999899e+02,5.000000000000000000e+00
8.000000000000000000e+00,2.830000000000000000e+02,1.308547644285714284e+02,8.000000000000000000e+00
1.450000000000000000e+02,1.490000000000000000e+02,1.410909499999999923e+02,2.000000000000000000e+00
2.850000000000000000e+02,2.860000000000000000e+02,1.579983070250000026e+02,1.300000000000000000e+01
2.000000000000000000e+00,2.840000000000000000e+02,1.708243819600000677e+02,1.260000000000000000e+02
1.800000000000000000e+01,2.890000000000000000e+02,1.734477668730158655e+02,1.270000000000000000e+02
1.000000000000000000e+00,2.870000000000000000e+02,1.765064570000000117e+02,3.000000000000000000e+00
6.000000000000000000e+00,1.100000000000000000e+01,1.774193589999999858e+02,2.000000000000000000e+00
2.880000000000000000e+02,2.900000000000000000e+02,1.784332595960024150e+02,1.400000000000000000e+02
2.700000000000000000e+01,1.510000000000000000e+02,2.031794419999999946e+02,2.000000000000000000e+00
1.470000000000000000e+02,2.920000000000000000e+02,2.391483660000000100e+02,3.000000000000000000e+00
2.940000000000000000e+02,2.950000000000000000e+02,2.496894563333333110e+02,5.000000000000000000e+00
2.400000000000000000e+01,1.480000000000000000e+02,2.684815380000000005e+02,2.000000000000000000e+00
2.930000000000000000e+02,2.960000000000000000e+02,2.988005457428571958e+02,1.450000000000000000e+02
1.460000000000000000e+02,1.500000000000000000e+02,3.418101060000000189e+02,2.000000000000000000e+00
2.910000000000000000e+02,2.980000000000000000e+02,3.741354628321836913e+02,1.480000000000000000e+02
